anime id,studio
55742,Studio Kafka
56785,TMS Entertainment
60108,Toei Animation
37675,Madhouse
27775,Doga Kobo
37932,Colored Pencil Animation
59360,Bandai Namco Pictures
427,Gonzo
7711,Studio Ghibli
6774,Toei Animation
17265,Satelight
6438,TMS Entertainment
29803,Madhouse
61508,Shenman Entertainment
4106,Madhouse
48580,Bones
32995,MAPPA
52976,Studio 4°C
532,Toei Animation
59001,Shengying Animation
59898,Kyoto Animation
34437,Sunrise
7338,Bones
22961,Production IMS
57066,J.C.Staff
790,Manglobe
35222,Brain's Base
7062,Shaft
54118,Orange
2829,Nippon Animation
2952,Square Enix Visual Works
3907,E&G Films
9289,P.A. Works
53199,Sunrise
85,Sunrise
53287,Sunrise
27947,Telecom Animation Film
28297,Madhouse
35848,Trigger
18397,Wit Studio
12815,Studio Pierrot
16395,Tatsunoko Production
20057,Bones
14075,Bones
3228,Shaft
114,Production I.G
24,Studio Comet
31098,MAPPA
31098,Studio VOLN
37786,TROYCA
29893,TYO Animations
41462,SANZIGEN
34438,Sunrise
38436,Motion Magic
31339,Hoods Entertainment
36028,Geno Studio
35075,Studio Deen
2828,Madhouse
2828,TMS Entertainment
13331,White Fox
12031,Studio Pierrot
1088,Tatsunoko Production
3572,Satelight
36563,TMS Entertainment
780,TMS Entertainment
30952,SANZIGEN
30952,LIDENFILMS
38201,Studio Pierrot
249,Sunrise
1594,Studio Deen
14719,David Production
52168,Sunrise
32547,SILVER LINK.
31490,Toei Animation
2159,A-1 Pictures
322,Madhouse
957,Madhouse
11813,Brain's Base
995,M.S.C
2752,M.S.C
57183,DC Impression Vision
58930,add some
55153,Shuka
41782,SANZIGEN
12113,Studio 4°C
10012,Lerche
59205,Lay-duce
14353,Madhouse
2471,Shin-Ei Animation
26213,Kyoto Animation
26213,Animation Do
934,Studio Deen
38408,Bones
51680,Studio Pierrot
2924,Shaft
3014,Kitty Film Mitaka Studio
7645,Toei Animation
35082,Kyoto Animation
5680,Kyoto Animation
10080,Manglobe
16782,CoMix Wave Films
55855,CloverWorks
50403,Paper Plane Animation Studio
34021,Telecom Animation Film
25517,A-1 Pictures
4985,Seven Arcs
779,TMS Entertainment
38770,TMS Entertainment
